Names	total	elements
		ARPC1B
		EXTL2
		MRPS16
		KRT18
		MFAP2
		NF1P9///NF1
		FKBP15
		RNF24
		LOC100272216
		SSR1
		SLC25A36
		MIR6849///MIR1234///MIR939///CPSF1
		LUC7L3
		LOC102724364///SEC22B
		KRT19
		ENO1
		TIPRL
		P4HA1
		SP3
		ADAMTS3
		MKI67
		GLS
		SPP2
		TP53
		PLGRKT
		LOX
		RPS27L
		MRPS15
		ATXN1
		CPOX
		AK5
		NCOA2
		ATP10D
		PREPL
		PPIC
		RAP2C
		NMU
		ARHGDIG
		PMS2P3
		NSG1
		TPRKB
		HIST1H2BD
		PSMB3
		MTIF2
		ZNF207
		CERS6
		R3HDM1
		ZNF91
		AKR1A1
		GAPDH
		COX7C
		ZC3H15
		GALNT1
		GPX1
		RBM25
		HIST2H2AA4///HIST2H2AA3
		KIAA0101
		HIGD2A
		CYBRD1
		EPHB2
		LOC101929115///KMT2A
		NME1
		SRRM2
		RALBP1
		HGS
		SLC16A1
		RANBP9
		NUDT21
		NKIRAS2
		CYP1B1
		PDLIM5
		CKAP4
		RNASEH1
		COBLL1
		CNPY2
		NBN
		TIA1
		TOPBP1
		TUG1
		ARL1
		EIF3B
		CEP135
		RAB3GAP1
		ASCC3
		DNAJC22
		PTOV1
		UCHL1
		TSSC1
		TMEM267
		DAP3
		PHF3
		THOC2
		MRPL24
		SGPL1
		C5orf15
		PRPF19
		TEFM
		SLC25A16
		STEAP3
		YEATS2
		THBS3
		LOC101929240///SNRNP200
		ULK1
		COPG1
		TWF1
		ZNHIT1
		MIR1908///FADS1
		GPI
		SFSWAP
		REC8
		COIL
		CASP8
		PINLYP
		CDH2
		SLX1A///SLX1B
		GTF3A
		MAU2
		SPTAN1
		SEBOX///VTN
		ISOC2
		PPIG
		SMC4
		FAM208B
		SCAND1
		ZCCHC24
		USP9X
		CORO1B
		PFN2
		TARS
		YY1
		AASDHPPT
		WT1
		SNRPE
		AP2M1
		NPRL3
		MORF4L2
		ZNF281
		ZNF587B
		RSRP1
		GATAD1
		FHL2
		CALR
		HSD3B1
		SARM1
		EPRS
		CCDC86
		ZFP30
		ADAM10
		ZNF217
		MIR21///VMP1
		BAD
		AGFG2
		GALNT7
		STRAP
		PMS2P1
		TP53BP1
		9-Sep
		ILF3
		FANCF
		TBL2
		ZBED8
		ALDOA
		AIMP2
		LAMA5
		HEG1
		MAZ
		RPRD2
		TFG
		PSMD14
		ISYNA1
		ADGRG6
		SEC23A
		MCTS1
		TGM1
		OGT
		SLC11A2
		HSPA13
		TMEM158
		CARM1
		CLDN15
		RPL36
		MARCKS
		ASPM
		SERPINH1
		RFC2
		DVL3
		FAP
		TBCC
		PLK2
		HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I
		INHBA
		BPTF
		LOC101926921///DAB2
		DNMT1
		CAPRIN1
		TBCA
		FGF9
		FADD
		SRPK2
		ZNF302
		CALU
		FIP1L1
		CAD
		TBC1D3I///TBC1D3E///LOC101060389///TBC1D3L///TBC1D3K///TBC1D3G///TBC1D3H///TBC1D3///TBC1D3C///TBC1D3F
		ESF1
		MICAL2
		SUZ12P1///SUZ12
		FGF18
		USP34
		UBAP2L
		MOB1A
		TMCO1
		TRRAP
		SCAMP1
		PTS
		AP3D1
		AP3S1
		FGFR1OP
		BUB1B
		AAGAB
		PA2G4
		KLHDC10
		TCF3
		MAP1B
		SSSCA1
		DTX2P1-UPK3BP1-PMS2P11
		MLEC
		WDR41
		ZNF93
		PPFIA1
		HMMR
		PKM
		LY6E
		AUP1
		COX11
		CFB
		ZNF443
		TMEM258
		SART3
		GMNN
		FAM114A1
		ARF3
		KIF20A
		NNT
		SSX2IP
		RAD21
		MIR1304///SNORD5///SNORA32///SNORA40///SNORA18///SNORA1///SNORA8///TAF1D
		MIF
		2-Sep
		P4HB
		COL10A1
		SETSIP///SETP4///SET
		NUMA1
		GMPS
		LGALS8
		ZZZ3
		UBE3C
		NDUFA10
		PSME3
		NME3
		MGEA5
		BCAT1
		EBLN2
		HGSNAT
		ARMC2-AS1///ATP5J2
		PMM2
		ATP2A2
		UEVLD
		TGFBI
		SCAF11
		ZMYM6
		G6PC3
		OLFML1
		SDCCAG3
		SEMA3C
		PDGFC
		NUSAP1
		FAM49B
		DNAJC13
		VPS13B
		RPS6KB1
		DNAJC10
		SLC39A6
		SNRPD2
GSE2549	551	VPS4A
		LRRC41
		CHD8
		UQCR11
		SCAF8
		RPL19
		EP300
		CHORDC1
		COL4A5
		PARN
		PROSC
		TNS3
		LONP1
		UBA1
		ATXN10
		STK25
		ITGA3
		SIGLEC8
		RAD23B
		RNF4
		GPN2
		COQ9
		WBP4
		VAX2
		EIF1AX
		MIR4745///PTBP1
		SNX19
		UQCRC1
		RHBDF1
		QKI
		UFL1
		P2RX5-TAX1BP3///TAX1BP3///P2RX5
		ZBTB20
		XPC
		GMFB
		LTBR
		KRT15
		PRPF3
		C16orf62
		PSMF1
		WAPL
		MRPL57
		MIR6743///RIC8A
		PHB2
		C1QBP
		RPN1
		TFE3
		PGM1
		CPD
		TANK
		SET
		SERP1
		PIGG
		FIS1
		ELF1
		OXA1L
		IGFBP2
		PSMD12
		WSB1
		PSMB8
		VEGFA
		DNASE1L1
		RUVBL2
		ISCA1
		RALB
		ZNF3
		LRRFIP1
		ZC3H14
		ALDH5A1
		LINC00094
		STYXL1
		SLC25A24
		SETSIP///SET
		NDUFB3
		ARMCX3
		CDK18
		PPARD
		FH
		OCEL1
		FMR1
		RAD23A
		PRMT5
		RNF126
		WDFY3
		SHQ1
		APPL2
		PRKD2
		LOC101930416///LOC101929792///LOC100996724///PDE4DIP
		PURA
		FAHD2A
		BBS4
		ATP6V0C
		PRPF8
		UBL5
		CAMSAP2
		ABL1
		RBBP7
		SNAPC5
		FAM206A
		TXNRD1
		UBE2H
		USP33
		STAU1
		CHMP1A
		MTO1
		PLXNB2
		CLCN3
		BRE
		ATP6AP2
		AZIN1
		PCDHGA1///PCDHGA2///PCDHGA3///PCDHGA4///PCDHGA5///PCDHGA6///PCDHGA7///PCDHGA9///PCDHGA10///PCDHGA11///PCDHGB1///PCDHGB2///PCDHGB3///PCDHGB5///PCDHGB6///PCDHGB7///PCDHGC4///PCDHGC5///PCDHGA12///PCDHGA8///PCDHGB4///PCDHGC3
		NOL7
		RBM41
		RNH1
		BICD2
		PDIA6
		RASA1
		RNF10
		IMPA1
		MIR943///NELFA
		MIR3654///EEF1G
		HELZ
		DUS1L
		ADNP
		TLK2
		MRPL23
		EIF3I
		EFR3A
		DEXI
		KCTD3
		LIN7C
		MTX2
		MAP1S
		FBXL4
		HINT1
		CHCHD2
		HSPE1-MOB4///MOB4
		TMOD3
		USP8
		LAPTM4B
		YIPF3
		H3F3AP4///H3F3B///H3F3A
		FKBP2
		MBD1
		RCN2
		RBMS1
		HSPA1B///HSPA1A
		ZNF304
		PSPH
		FZR1
		LOC100996696///PABPC4
		RYK
		COX5A
		LIMS4///LIMS3///LIMS1
		LOC101930591///FAM21A///FAM21C
		TUBGCP3
		AP1G1
		RNF170
		CD4
		DSP
		TPD52L2
		TSPAN3
		MSN
		DERA
		PTPN12
		DIP2C
		BMPR1A
		STAG2
		SNURF///SNRPN
		RALY
		HMOX2
		PEX14
		TRMT112
		GOLPH3
		ARF4
		CLK2
		RAB14
		MIR4640///DDR1
		DYNC1LI2
		ERMP1
		PAN2
		COL4A3
		ALDH1A2
		MAPK9
		KLF6
		ARPC5
		PRPF4B
		KDM1A
		CCNL2
		TMEM14A
		ARPP19
		LOC101060399///CDR2
		GGPS1
		SUMO3
		HLA-A
		PEX13
		SLC38A2
		ANKRD11
		ADO
		CDC42
		TCEB3
		ZBTB7A
		KCNK1
		VDAC3
		TMED2
		RIOK3
		DNAJB6
		KEAP1
		MED16
		NUP50
		AKAP17A
		HOXA7
		HMGB2
		FBXL2
		PTBP1
		TCEAL9
		WDR47
		DALRD3
		DDX19A
		FBXO21
		LOC101930324///NSF
		INSIG2
		STXBP2
		PRPF4
		CDK9
		DDIT4
		SERINC5
		B3GALNT1
		KLF7
		AHSA1
		MIR3620///ARF1
		ANAPC2
		ORC2
		SNRPA1
		DHPS
		TUBGCP2
		NUP160
		TPGS2
		THAP7
		COMMD10
		SF3B1
		IPO7
		HPRT1
		LRRC59
		IBTK
		CDC73
		6-Mar
		S100A10
		SLC30A5
		ZNF185
		CAP2
		MIR6890///QARS
		CIZ1
		WWTR1
		MYZAP///GCOM1///POLR2M
		AKT1
		E2F6
		SCRIB
		FZD6
		TBC1D2
		HPS5
		PTP4A1
		BCL2L2-PABPN1///PABPN1///BCL2L2
		TUBA3D///TUBA3C
		GATC///SRSF9
		COX4I1
