Names	total	elements
		UPF3A
		HTR3A
		DOHH
		CACNB1
		LAMB4
		MED27
		EML3
		SLC22A14
		CNTN2
		RRP7BP///RRP7A
		ADGRD2
		CDH8
		PIN1P1
		DUX1
		HCFC1
		ARMC6
		TTTY14
		PTPRH
		COQ10B
		KLKB1
		ECRP
		OR6A2
		MIA2
		LY6G6E
		HOXB5
		NENF
		ZNF324
		GJB5
		TTTY1B///TTTY1
		PACSIN3
		FBXO46
		ZNF137P
		ITSN1
		ADCY3
		CAMK2B
		MUC2
		SGF29
		MYF5
		JPH2
		ATP2B2
		CMA1
		PTCRA
		IGLJ3
		KLHL21
		KIAA0930
		CPD
		HLA-DOA
		LOC101928457
		ARHGAP25
		SLC29A3
		GGTLC2
		BCL7A
		ZNF614
		SNTA1
		KCNV2
		NOTCH2
		KLRG1
		TAC1
		ST20-MTHFS///MTHFS
		TMOD2
		OR52A1
		KCNK7
		ITK
		KMT2B
		HBQ1
		ZFHX2
		DNAJC4
		LAMA1
		PARVB
		ELL
		PCNX2
		SOX15
		MAPK8IP2
		RPLP2
		C21orf2
		EPN1
		IL1RAPL1
		APOBEC3F
		MIR1292///SNORD110///SNORD86///SNORD57///NOP56
		KIF5C
		CA12
		CNOT2
		RERGL
		ADAMTS6
		ZNF75D
		TK2
		SLIT1
		ELK4
		ADCY1
		CR1
		ZNF287
		TRIM24
		LINC00588
		ZDHHC17
		URB2
		HLCS
		METTL18
		FNDC4
		NKAIN1
		LOC100996919///CD8B
		ALOX12
		TRMT1
		CRHR1
		XPO6
		SLC12A3
		RFPL3
		MFGE8
		TAS2R4
		PNMA2
		AGRN
		MIR6789///PLEKHJ1
		CNTNAP3P2
		IRX4
		DCAF4
		HIC1
		IAPP
		API5
		IGKC
		HDHD3
		TDRD3
		TAP2
		IPPK
		TESPA1
		CARD10
		SIRT5
		NKX3-1
		TRIM17
		UPB1
		GUCY1B2
		CD28
		MASP2
		CNTN1
		STAT5B
		ENPEP
		SCT
		SLC22A13
		AKAP3
		C2orf72
		APOLD1
		BORCS6
		FBLN2
		HBE1
		HBBP1
		OR7E24
		DIO2
		UNC13A
		PIWIL2
		CRELD1
		SOX14
		TGS1
		ATP2B4
		GUSBP11
		RAB22A
		CGB1///LHB
		GRIK3
		CACNB2
		PDE10A
		RHOG
		MTA1
		HCG9
		RUNX2
		CEBPA-AS1
		SOX1
		SRPX
		POLR2A
		NR2F6
		CCZ1
		MAPK11
		TRPM3
		SYDE1
		POU5F1P4
		ICAM3
		ADAM8
		HAO2
		PPP6R3
		RAB11FIP5
		NEUROD6
		PTOV1-AS2
		HCN4
		TGM4
		CD84
		GJC1
		GABRA5
		PDGFRA
		ZMIZ2
		TCF20
		NOVA1
		SSH3
		KLC2
		PCDHGC3
		ATRNL1
		APOC4-APOC2///APOC4///APOC2
		CXCR6
		BTD
		ZNF814
		ATP2B3
		CNOT3
		ZNF821
		UPF2
		C16orf70
		ALMS1
		TIMP4
		MKS1
		TMLHE
		PDK3
		ABCC8
		CPN2
		PCOLCE2
		GLP2R
		XAGE1B///XAGE1E
		EPO
		NTN3
		GJB4
		AAK1
		RPL14
		SERPINA5
		UBR4
		ARID1A
		VRTN
		ADAMTS7
		HECW1
		TRMT2A
		MEF2C
		SENP5
		LBR
		CDIP1
		ESPL1
		ST8SIA5
		ZAP70
		SLC6A2
		RAE1
		CHST8
		RNF122
		IL26
		CHRNE
		RLBP1
		ARVCF
		ATXN7L1
		ITIH5
		C8A
		ZNF816-ZNF321P///ZNF816
		LOC55338
		THOC5
		SH2D1A
		JAM3
		NFATC4
		TOP3B
		MSL3
		HRK
		ABCG1
		NFATC1
		CCR9
		ADGRG3
		RHD
		SLC16A7
		SOX5P1
		CTNNA1P1
		IDI2-AS1
		SYT5
		ZNF574
		MUC3B///MUC3A
		RASAL1
		WIZ
		ALDH4A1
		MGAT1
		RNF17
		PKLR
		LMF1
		CTSW
		TNNC2
		MRPL28
		SYN1
		LIPE
		MPPED1
		PI4K2A
		MED8
		LOC101927051
		CYP11B2
		ZNF609
		EPHA5
		GTPBP3
		ARHGAP33
		MYOT
		POU4F1
		GALR1
		GRIN2C
		TBXA2R
		EMC3
		CCDC169-SOHLH2///SOHLH2
		RBM19
		TSHZ2
		KHK
		CD58
		GLP1R
		SELE
